,cluster_id,custom_genre,description,exemplar_overview,included_movies
0,5,Clever Heist Capers,"This genre unites films centered around smart, stylish criminals and their intricate schemes, blending suspense, wit, and high-stakes cons or heists. These movies focus on the thrill of the plan, the dynamics within the crew, and the clever twists that keep audiences guessing.","When a seasoned thief assembles a diverse team to pull off the ultimate heist, they must outsmart rival criminals and law enforcement alike. As tensions rise and loyalties are tested, the crew navigates double-crosses and unexpected obstacles to claim their prize and secure their freedom.","['Heist', 'To Catch a Thief', 'Trading Places', 'Heat', ""White Men Can't Jump"", 'Gone in Sixty Seconds', 'The Italian Job', 'The Town', 'Small Time Crooks', ""Ocean's Eleven"", 'Inside Man', 'Logan Lucky']"
1,8,Global Espionage Thrillers,"These movies unite high-stakes spy missions, international intrigue, and covert operations where secret agents navigate deadly conspiracies and global threats to save the world.","When a shadowy organization threatens to ignite a worldwide conflict using stolen nuclear technology, a seasoned intelligence operative must infiltrate enemy ranks, decode cryptic messages, and outwit double agents in a race against time to prevent global catastrophe.","['Spy', 'The Hunt for Red October', 'GoldenEye', 'Spectre', 'Mission: Impossible', 'The Bourne Ultimatum', ""On Her Majesty's Secret Service"", 'The Spy Who Loved Me', 'Moonraker', 'The Man with the Golden Gun', 'RED 2', 'Tomorrow Never Dies', 'Mission: Impossible III', 'True Lies', 'Tinker Tailor Soldier Spy']"
2,17,Psych-Crime Thrillers,"This genre blends intense crime investigations with deep psychological intrigue, often featuring complex relationships, obsession, and the blurred lines between hunter and hunted.","A seasoned detective teams up with a brilliant psychologist to track a cunning serial killer whose twisted mind challenges their own sanity, while personal emotions and dark pasts threaten to unravel the case.","['Stakeout', 'Laura', 'Vertigo', 'Copycat', 'The Cell', 'Kalifornia', 'Se7en', 'Silence of the Lambs', 'Zodiac', 'Prisoners']"
3,18,Samurai Assassin Revenge,"This genre unites films centered around elite assassins who live by a strict personal code, often inspired by samurai ethics, and who embark on intense, stylized quests for vengeance against deadly criminal underworlds.","A lone assassin, guided by ancient warrior principles, is betrayed by her own clan and left for dead. Rising from the ashes, she embarks on a relentless journey to dismantle the syndicate that shattered her life, blending honor, precision, and brutal retribution.","['Ghost Dog: The Way of the Samurai', 'The Killer', 'Kill Bill: Vol. 1', 'Kill Bill: Vol. 2', 'Assassins', 'Leon: The Professional', 'John Wick', 'Lady Snowblood']"
4,121,Galactic Saga Adventures,"This genre encompasses epic space operas centered around the battle between good and evil in a vast galaxy, featuring heroic journeys, mystical powers, and interstellar conflicts that shape the fate of civilizations.","In a galaxy torn by war, a young hero discovers their extraordinary abilities and joins a rebellion to overthrow a tyrannical empire. Alongside loyal allies and legendary mentors, they face impossible odds, uncover ancient secrets, and ignite hope for freedom across the stars.","['Star Wars: The Last Jedi', 'Star Wars: The Force Awakens', 'Solo: A Star Wars Story', 'Star Wars: Episode II - Attack of the Clones', 'The Empire Strikes Back', 'Rogue One: A Star Wars Story', 'Star Wars: Episode III - Revenge of the Sith', 'Star Wars', 'Star Wars: Episode I - The Phantom Menace', 'Return of the Jedi', 'Guardians of the Galaxy', 'Battlestar Galactica', 'Dune', 'The Fifth Element', 'Star Trek']"
5,136,Viral Apocalypse Thrillers,"This genre unites films centered around the outbreak and rapid spread of deadly viruses or infections that lead to societal collapse, featuring intense survival struggles, quarantine efforts, and the fight to find a cure amidst chaos.","In a world devastated by a lethal airborne virus, a small group of survivors must navigate quarantined zones, evade infected hordes, and race against time to uncover a cure before humanity is wiped out.","['Outbreak', '28 Days Later', 'Day of the Dead', 'Contagion', 'The Happening', 'Resident Evil', '28 Weeks Later', 'I Am Legend', 'World War Z', 'The Andromeda Strain']"
6,138,Urban Grit & Velocity,"This genre combines fast-paced action, crime, and complex characters navigating gritty urban landscapes. It features intense police investigations, high-stakes chases, moral ambiguity, and the intertwining of law enforcement with the criminal underworld, often set against the backdrop of sprawling cities like Los Angeles and New York.","In the neon-lit streets of a sprawling metropolis, a hardened detective and a rogue ex-con join forces to dismantle a ruthless crime syndicate. As they race against time through high-speed chases and shadowy alleyways, they confront betrayal, corruption, and their own haunted pasts, all while the city’s pulse beats faster around them.","['The Last Boy Scout', 'L.A. Confidential', 'Pulp Fiction', 'Narc', 'U Turn', 'Tequila Sunrise', 'Fast & Furious', 'Fast Five', 'Fast & Furious 6', 'Running Scared', '15 Minutes', '16 Blocks', '48 Hrs.', 'The Freshman', 'Magnolia']"
7,152,Galactic Frontier Epics,"These movies belong together as they all explore the vast, adventurous, and often perilous journeys of starship crews navigating complex interstellar conflicts, moral dilemmas, and the quest for peace and understanding in a richly imagined future universe.","In the distant future, the crew of the starship Horizon must unite to prevent a rogue faction from igniting a war that could destroy the fragile peace between human and alien civilizations. Facing relentless enemies, ethical quandaries, and the unknown perils of deep space, they must rely on courage, friendship, and advanced technology to safeguard the galaxy's future.","['Star Trek: First Contact', 'Star Trek: Nemesis', 'Star Trek Beyond', 'Star Trek: The Motion Picture', 'Star Trek VI: The Undiscovered Country', 'Star Trek Into Darkness', 'Star Trek II: The Wrath of Khan', 'Star Trek IV: The Voyage Home', 'Star Trek: Insurrection', 'Star Trek: Generations', 'Star Trek']"
8,185,Heist & Hostage Havoc,"This genre combines high-stakes crime capers, daring kidnappings, and intense hostage negotiations, blending suspense, dark humor, and action-packed plots where characters navigate chaotic schemes and power struggles.","When a group of unlikely criminals botch a kidnapping that spirals into a city-wide manhunt, a seasoned negotiator and a cunning bounty hunter must team up to outwit ruthless gangsters and corrupt officials before the ransom clock runs out.","['Horrible Bosses 2', 'Inside Man', 'For a Few Dollars More', 'The Taking of Pelham 1 2 3', 'Hostage', 'The Negotiator', 'The Italian Job', 'The Way of the Gun', 'Suicide Kings', 'Faster, Pussycat! Kill! Kill!', 'The Edukators', 'Midnight Run']"
9,188,Emotional Southern & New York Dramas,"These films explore complex family dynamics, romantic entanglements, and personal struggles set against the contrasting backdrops of the American South and New York City, blending emotional depth with cultural and societal nuances.","In a tale of intertwined destinies, a troubled Southern man confronts his painful past while falling for a compassionate New York psychiatrist, revealing the delicate balance between family loyalty and personal desire amidst the vibrant pulse of two distinct worlds.","['The Prince of Tides', 'You Can Count on Me', 'A Streetcar Named Desire', 'Everyone Says I Love You', 'The Age of Innocence', 'Fried Green Tomatoes', 'The Hours', 'Manhattan', 'Steel Magnolias', ""Breakfast at Tiffany's""]"
